"DTI_CL_INDICADOR","Indicador","DTI_CL_TRIMESTRE_MOVIL","Trimestre.Móvil","DTI_CL_REGION","Región","DTI_CL_SEXO","Sexo","Value"
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL11","Región de Aysén del Gral. Carlos Ibáñez del Campo","F","Mujeres",46.4511007467797
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL12","Región de Magallanes y La Antártica Chilena","_T","Ambos sexos",52.6354202102104
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL12","Región de Magallanes y La Antártica Chilena","M","Hombres",67.8365813961366
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V03","2010 feb-abr","CHL12","Región de Magallanes y La Antártica Chilena","F","Mujeres",36.8921417923522
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","_T","Total país","_T","Ambos sexos",54.1914048463062
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","_T","Total país","M","Hombres",68.1094006244603
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","_T","Total país","F","Mujeres",40.9651281027326
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL15","Región de Arica y Parinacota","_T","Ambos sexos",58.8827080407195
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL15","Región de Arica y Parinacota","M","Hombres",68.9336562895455
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL15","Región de Arica y Parinacota","F","Mujeres",49.2168204824237
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL01","Región de Tarapacá","_T","Ambos sexos",63.4734544079088
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL01","Región de Tarapacá","M","Hombres",74.345448700181
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL01","Región de Tarapacá","F","Mujeres",52.2472666130362
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL02","Región de Antofagasta","_T","Ambos sexos",58.4662955863368
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL02","Región de Antofagasta","M","Hombres",73.8962576873845
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL02","Región de Antofagasta","F","Mujeres",42.5315074782668
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL03","Región de Atacama","_T","Ambos sexos",56.0259001919948
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL03","Región de Atacama","M","Hombres",72.3174734512582
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL03","Región de Atacama","F","Mujeres",39.3737426857669
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL04","Región de Coquimbo","_T","Ambos sexos",51.9261458319873
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL04","Región de Coquimbo","M","Hombres",67.3784315085982
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL04","Región de Coquimbo","F","Mujeres",37.2734845794168
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL05","Región de Valparaíso","_T","Ambos sexos",51.9520739149771
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL05","Región de Valparaíso","M","Hombres",65.9880678324082
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL05","Región de Valparaíso","F","Mujeres",38.8501640428775
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL13","Región Metropolitana de Santiago","_T","Ambos sexos",56.996711995734
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL13","Región Metropolitana de Santiago","M","Hombres",69.7419922194388
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL13","Región Metropolitana de Santiago","F","Mujeres",45.1190301081611
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL06","Región del Libertador Gral. Bernardo O'Higgins","_T","Ambos sexos",53.8839086578297
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL06","Región del Libertador Gral. Bernardo O'Higgins","M","Hombres",70.1947808372329
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL06","Región del Libertador Gral. Bernardo O'Higgins","F","Mujeres",37.7165522961913
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL07","Región del Maule","_T","Ambos sexos",49.0993959518214
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL07","Región del Maule","M","Hombres",65.3653104400559
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL07","Región del Maule","F","Mujeres",33.4543860919892
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL16","Región de Ñuble","_T","Ambos sexos",45.2869026229532
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL16","Región de Ñuble","M","Hombres",58.7260655942569
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL16","Región de Ñuble","F","Mujeres",32.6126659245779
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL08","Región del Biobío","_T","Ambos sexos",48.95194146386
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL08","Región del Biobío","M","Hombres",63.8769927146116
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL08","Región del Biobío","F","Mujeres",34.9610990075602
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL09","Región de La Araucanía","_T","Ambos sexos",52.6658163075191
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL09","Región de La Araucanía","M","Hombres",68.275047093851
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL09","Región de La Araucanía","F","Mujeres",37.8914604475354
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL14","Región de Los Ríos","_T","Ambos sexos",48.9114627444755
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL14","Región de Los Ríos","M","Hombres",62.4640864729006
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL14","Región de Los Ríos","F","Mujeres",35.8345130391321
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL10","Región de Los Lagos","_T","Ambos sexos",54.9042897938835
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL10","Región de Los Lagos","M","Hombres",68.2636018709829
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL10","Región de Los Lagos","F","Mujeres",41.7596039000535
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL11","Región de Aysén del Gral. Carlos Ibáñez del Campo","_T","Ambos sexos",60.7553465001804
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL11","Región de Aysén del Gral. Carlos Ibáñez del Campo","M","Hombres",74.4927591603838
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL11","Región de Aysén del Gral. Carlos Ibáñez del Campo","F","Mujeres",46.3086990992565
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL12","Región de Magallanes y La Antártica Chilena","_T","Ambos sexos",52.3484037381981
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL12","Región de Magallanes y La Antártica Chilena","M","Hombres",66.4050243937578
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V04","2010 mar-may","CHL12","Región de Magallanes y La Antártica Chilena","F","Mujeres",37.7935484468883
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V05","2010 abr-jun","_T","Total país","_T","Ambos sexos",54.41934490968
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V05","2010 abr-jun","_T","Total país","M","Hombres",68.3015452560341
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V05","2010 abr-jun","_T","Total país","F","Mujeres",41.2265868347281
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V05","2010 abr-jun","CHL15","Región de Arica y Parinacota","_T","Ambos sexos",59.121314447305
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V05","2010 abr-jun","CHL15","Región de Arica y Parinacota","M","Hombres",70.0440564957731
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V05","2010 abr-jun","CHL15","Región de Arica y Parinacota","F","Mujeres",48.6166989503316
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V05","2010 abr-jun","CHL01","Región de Tarapacá","_T","Ambos sexos",62.2398436966044
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V05","2010 abr-jun","CHL01","Región de Tarapacá","M","Hombres",73.5980392586009
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V05","2010 abr-jun","CHL01","Región de Tarapacá","F","Mujeres",50.5111234938665
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V05","2010 abr-jun","CHL02","Región de Antofagasta","_T","Ambos sexos",59.5017520630705
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V05","2010 abr-jun","CHL02","Región de Antofagasta","M","Hombres",75.0446521189109
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V05","2010 abr-jun","CHL02","Región de Antofagasta","F","Mujeres",43.4533718609596
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V05","2010 abr-jun","CHL03","Región de Atacama","_T","Ambos sexos",55.979073575467
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V05","2010 abr-jun","CHL03","Región de Atacama","M","Hombres",73.056830314236
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V05","2010 abr-jun","CHL03","Región de Atacama","F","Mujeres",38.5247313934573
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V05","2010 abr-jun","CHL04","Región de Coquimbo","_T","Ambos sexos",52.9217508906368
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V05","2010 abr-jun","CHL04","Región de Coquimbo","M","Hombres",68.3041462596054
"ENE_TO_P2017","Tasa de ocupación (proyecciones base 2017)","2010-V05","2010 abr-jun","CHL04","Región de Coquimbo","F","Mujeres",38.3362694195971
